Trial_ID,P1,P2,P3,P4,P5,P6,WarpMax,T_Tip_Peel,T_Tip_Shear,T_Tip_SEQV,T_Tip_Strain,T_Avg_Peel,T_Avg_Shear,B_Tip_Peel,B_Tip_Shear,B_Tip_SEQV,B_Tip_Strain,B_Avg_Peel,B_Avg_Shear,Die_SX,Die_SY_Max,is_safe_pred,safe_probability
BO_Trial_0074,0.9385827397329488,0.0797846966778355,0.6736567084115603,0.2253882324513889,1.2848123646274416,0.0614894880479475,-0.15900303,-34.18717,7.840361,35.757572,0.0035576634,0.03277802,-3.014348,-5.5248737,-2.4424098,25.140648,0.0017057755,0.0032563969,-2.9529057,65.02804,-91.02425,1,0.5385730553044155
BO_Trial_0075,0.8017767086250333,0.0855392761015581,0.6787885324118399,0.2518007906812399,1.2202756424473662,0.047988155737421,-0.16653763,-33.434673,3.5920112,36.629868,0.0035163881,0.04463092,-3.0678067,-7.580317,-3.2084856,26.115902,0.00183916,0.0066093593,-3.0483496,69.10891,-94.804695,1,0.6209977486246927
BO_Trial_0083,0.8525481507156227,0.08619301475915,0.7196902100930189,0.2207254501976197,1.237241524880507,0.0648379975806175,-0.17001349,-36.18676,1.7263591,40.032833,0.003739197,0.04908353,-3.4199877,-4.2133455,-3.2589347,25.993317,0.00175209,0.013875299,-3.31206,73.20791,-92.63641,1,0.5289045165436235
BO_Trial_0085,0.8401878906151172,0.086253940235953,0.7189658621574808,0.2214547422518255,1.7988227574659392,0.0654549490923694,-0.10549059,-33.904625,5.683638,35.49681,0.0030114164,0.018439142,-2.9638922,-5.710962,-2.727298,27.057621,0.0018680708,-0.016793977,-2.916483,61.394375,-88.671906,1,0.5914098808284323
BO_Trial_0086,0.8550231826643132,0.0896277765934633,0.7129069763762133,0.2039083559509694,1.2985639965643268,0.0634598755170964,-0.16301826,-33.519142,6.3589787,36.00928,0.0035934236,0.03612804,-3.1670995,-4.5382037,-2.9902277,25.013777,0.00171601,0.014138896,-3.0562449,69.28451,-91.713066,1,0.5799251389975737
BO_Trial_0088,0.8712975885060696,0.0879012791157954,0.7146514060807142,0.1900800197418725,1.2742620206740656,0.0692213419065408,-0.16321078,-31.600172,8.6356125,34.30254,0.0035896841,0.04623363,-2.994124,-4.204554,-2.8438935,24.744068,0.0017087306,0.018757166,-2.8761845,68.715546,-88.39403,1,0.551672524466691
BO_Trial_0089,0.8563924090804578,0.0875865151049777,0.7196906677733174,0.2165077073049361,1.2582456145702237,0.0656692037683007,-0.16782527,-34.81804,4.072797,38.019302,0.0036896034,0.041937225,-3.2656908,-4.2685843,-3.1076555,25.371206,0.0017130473,0.014389945,-3.144985,71.2939,-91.69141,1,0.5064276700838046
BO_Trial_0090,0.8260497973202859,0.0843932153511134,0.7093476943521329,0.1995794957713653,1.322783601173224,0.0670220691928206,-0.15833785,-35.90956,-0.13479766,39.95437,0.003651256,0.05572685,-3.4495108,-4.9549174,-3.4725764,26.773598,0.0019147155,0.010983974,-3.3882625,71.74635,-90.13658,1,0.7115661130069441
BO_Trial_0094,0.8897779869933476,0.0888035832141387,0.7034483079904487,0.2286321261627606,1.2857897819300403,0.0617232582335002,-0.16350341,-34.10335,6.387225,35.893,0.0036053373,0.019545607,-3.1745982,-4.142718,-2.6185675,24.157267,0.0015878524,0.011451201,-3.0261068,67.77371,-92.756805,1,0.5310860457252394
BO_Trial_0095,0.8636885680232939,0.0862655193101728,0.7072551680555651,0.2242264641246394,1.4620173178906022,0.0625669162817408,-0.13874651,-33.76976,7.6965623,34.883198,0.0033566605,0.014973971,-2.9520402,-4.7535677,-2.5227132,25.092611,0.0016929775,-0.0054888204,-2.884075,63.08661,-90.915085,1,0.6887579170959662
BO_Trial_0098,0.844409897747363,0.0893026837244733,0.7123880223443388,0.2115973072367674,1.256359429037813,0.068274550828425,-0.16819243,-35.867805,0.15851322,40.160484,0.003706985,0.04815746,-3.462835,-4.2322445,-3.3738136,26.09812,0.0018121758,0.015294376,-3.3459973,73.31147,-90.82482,1,0.610110716084063
BO_Trial_0099,0.8305306773401167,0.0898621429169704,0.7176383311577768,0.2180289225831951,1.216313373865165,0.0590289508691381,-0.17144765,-36.994267,0.09100448,41.3274,0.0037063,0.064365126,-3.612165,-5.051243,-3.5347266,26.694859,0.0018413924,0.013745205,-3.5429776,75.514755,-95.4864,1,0.5534112885660974
BO_Trial_0100,0.8490179872241002,0.0870912361197026,0.7184679384797122,0.2211067378514078,1.2197443436959712,0.0628270237603957,-0.17201766,-36.82127,0.6543206,41.04999,0.0037455754,0.057859298,-3.5399117,-4.319973,-3.3703725,26.373962,0.0017846014,0.013574662,-3.4517236,74.77614,-93.68727,1,0.505939158576818
BO_Trial_0101,0.8261146814906085,0.0871475738331938,0.7182999495699971,0.2177522809403688,1.2210828257429789,0.0625396577089413,-0.17153859,-38.178116,-3.1438758,43.394917,0.0037676815,0.068824485,-3.7473388,-4.8889,-3.7214093,27.291933,0.0019059678,0.01209202,-3.6849015,77.03182,-93.972916,1,0.5670924038644561
BO_Trial_0102,0.827021703105969,0.087141480562078,0.7167813239475123,0.2206579831616923,1.2222572102562046,0.0588808668330748,-0.17069484,-37.490154,-0.88515145,42.022278,0.0037218502,0.06804535,-3.6399324,-5.2445073,-3.5653656,26.997486,0.0018652285,0.011394946,-3.5904863,75.61573,-95.0562,1,0.5661826137471951
BO_Trial_0103,0.8334143895201052,0.0869361254468622,0.7177792159575885,0.2176623629117419,1.2173202963099126,0.0597351562435581,-0.17125961,-37.256435,-0.32933426,41.773266,0.0037327914,0.06823043,-3.6200957,-5.0297437,-3.542863,26.90608,0.0018558413,0.012747784,-3.5615778,75.670265,-94.77969,1,0.541167870316189
BO_Trial_0104,0.8257931757378486,0.087162228820885,0.7171367033129149,0.2169017706604917,1.2640003890525986,0.0584378496173523,-0.16595675,-36.967167,0.1689379,40.838474,0.0036646544,0.062498268,-3.56365,-5.2034807,-3.4652982,26.602766,0.0018435023,0.01006077,-3.5148427,73.968506,-95.50863,1,0.5904304465895357
BO_Trial_0105,0.8343840717876256,0.0897623673735617,0.7145293509786468,0.2091618352718589,1.215108914131889,0.0591757459616058,-0.17087947,-36.507133,0.8589835,40.838734,0.0036993613,0.067119256,-3.584472,-4.956723,-3.5264397,26.708836,0.001858871,0.016083134,-3.511713,75.41711,-94.98345,1,0.5220678510223378
BO_Trial_0108,0.8130193360366442,0.0875905837492423,0.7190851311451324,0.2018004761942494,1.2153013061669955,0.0596908739422284,-0.17092215,-36.72237,-0.86025923,41.680767,0.0037097489,0.074655384,-3.6192145,-5.433844,-3.7220438,27.258026,0.0019360363,0.019153759,-3.558616,76.3757,-94.4782,1,0.5734487746576271
BO_Trial_0109,0.8135828986536575,0.0876093538113983,0.7171830614662325,0.200017681277677,1.2163935532655934,0.059442385973048,-0.17061521,-36.600502,-0.61191076,41.47434,0.0037038412,0.07532611,-3.611415,-5.4795985,-3.715168,27.231203,0.0019376109,0.01975471,-3.5509746,76.24418,-94.464226,1,0.5816522402160649
BO_Trial_0110,0.8124924175956658,0.0875570745452147,0.7164315042809053,0.2054075372237405,1.2156178006411305,0.0592548659570122,-0.17088453,-37.076622,-1.6229184,42.2478,0.0037249778,0.07623047,-3.6615398,-5.486773,-3.7440536,27.38852,0.0019456673,0.017941084,-3.6083927,76.70147,-94.509285,1,0.5935484941138626
BO_Trial_0111,0.8122919498609974,0.0877533797256853,0.7171242458264552,0.2067358919414874,1.2164767752528869,0.0593302811807867,-0.17084022,-37.15385,-1.7566928,42.36914,0.0037244211,0.075598985,-3.6659176,-5.4426646,-3.7358863,27.381956,0.0019415163,0.017484074,-3.6126115,76.73438,-94.554375,1,0.602860526111264
