Trial_ID,P1,P2,P3,P4,P5,P6,WarpMax,T_Tip_Peel,T_Tip_Shear,T_Tip_SEQV,T_Tip_Strain,T_Avg_Peel,T_Avg_Shear,B_Tip_Peel,B_Tip_Shear,B_Tip_SEQV,B_Tip_Strain,B_Avg_Peel,B_Avg_Shear,Die_SX,Die_SY_Max
BO_Trial_0230,0.8662564884919031,0.08673782491656545,0.7082203735120763,0.23796560418321172,1.200383469318285,0.06251176426023983,-0.17282352,-37.3431,0.024892874,41.21066,0.0037397337,0.051136453,-3.5881586,-4.563933,-3.231569,26.290646,0.0017531565,0.009618841,-3.4998658,74.16782,-93.416016
BO_Trial_0231,0.8668265411989275,0.08757068910301759,0.7083504385675085,0.23713143071672815,1.2170607899725594,0.06282738333304887,-0.17137954,-37.307545,-0.14121906,41.07946,0.0037246111,0.04867124,-3.593468,-4.325501,-3.206329,26.07836,0.0017376419,0.009781282,-3.4946678,73.90175,-93.46405
BO_Trial_0232,0.8556159087504134,0.08645731515143745,0.7101359538721058,0.23525378030094765,1.2150303672946356,0.06238202247391662,-0.17170233,-37.884537,-1.3616127,42.1188,0.0037452916,0.054767624,-3.668733,-4.668822,-3.3672905,26.576862,0.001793767,0.0088382475,-3.5884514,74.99889,-93.65985
BO_Trial_0233,0.8664923184124503,0.0876638851917337,0.7084922369942313,0.22848620472155862,1.2016731298475003,0.063566411656863,-0.17300236,-37.196873,-0.39497498,41.40236,0.0037473158,0.05641855,-3.6147015,-4.195039,-3.2834878,26.298681,0.001767078,0.012185608,-3.515863,74.930374,-92.94176
BO_Trial_0234,0.8679360362996267,0.08718151197529161,0.7078785691419085,0.2301673031478332,1.2020905293530209,0.06352509929828545,-0.17282085,-37.258194,-0.37267756,41.37988,0.0037457026,0.0557914,-3.606866,-4.2176876,-3.2604249,26.288025,0.0017621305,0.011614122,-3.5105252,74.6872,-92.93723
BO_Trial_0235,0.8682556885363805,0.08649409510818808,0.707673505214048,0.22999639950251466,1.2011241777577195,0.06352379226859925,-0.17279385,-37.300083,-0.3850339,41.42424,0.003750078,0.056855157,-3.6007857,-4.26212,-3.262598,26.351269,0.0017671015,0.011271498,-3.5103648,74.63695,-92.843994
BO_Trial_0236,0.8678543225408306,0.08664351910801504,0.7079875709647586,0.23050056216769893,1.2014074722290768,0.06339584136855432,-0.17278872,-37.281467,-0.2914465,41.37899,0.0037481338,0.05615607,-3.5985963,-4.268048,-3.2582955,26.32815,0.001764108,0.011274511,-3.5070033,74.599976,-92.931274
BO_Trial_0237,0.8629238828031575,0.08683413933537935,0.7075759130672071,0.2294022660515411,1.442292637176377,0.06232999294855535,-0.14140919,-34.1163,7.248421,35.460243,0.003383993,0.016363606,-3.0153172,-4.5890207,-2.5294654,24.970604,0.0016761525,-0.002449011,-2.9296646,64.22454,-91.74048
BO_Trial_0238,0.888038563721456,0.0862927320189924,0.7109993212110918,0.23890966037526246,1.2255781585132035,0.06352054859851049,-0.17057404,-35.539963,4.1978803,38.046116,0.0036999262,0.03407665,-3.294134,-3.9863772,-2.8046858,24.90468,0.001603673,0.008928316,-3.1670468,70.4503,-93.12471
BO_Trial_0239,0.8671827202064352,0.0873826572262011,0.7107101772519694,0.24596104579264147,1.2021168293344386,0.06272671710466289,-0.1729702,-37.246212,0.38698095,40.81478,0.0037273117,0.04445019,-3.5622196,-4.5669646,-3.1907527,26.0704,0.0017288481,0.008083166,-3.4691176,73.68252,-93.76082
BO_Trial_0240,0.8617161810386642,0.08731039075673833,0.7106450758848284,0.24471835910095716,1.2012013879227246,0.062230025658937364,-0.1729856,-37.442635,-0.14375876,41.274197,0.003730811,0.048027523,-3.6071036,-4.787025,-3.2714915,26.321615,0.0017599557,0.008138608,-3.5222394,74.3189,-93.8049
BO_Trial_0241,0.859084643619888,0.08735846765345938,0.7109588293254133,0.2443459143788892,1.2168344824674449,0.062243693156789355,-0.17146555,-37.61258,-0.508354,41.421352,0.0037186532,0.047712836,-3.6286347,-4.6873717,-3.2896645,26.292233,0.0017643761,0.0074643837,-3.5442712,74.29011,-93.96394
BO_Trial_0242,0.8706564236012723,0.0884669981605967,0.7112285040196714,0.2473218313500935,1.2003536437996085,0.06279456997926929,-0.17320235,-36.879143,1.0249003,40.21436,0.0037159498,0.04051265,-3.5227578,-4.50585,-3.136066,25.803104,0.001703824,0.008569821,-3.4184227,73.211136,-93.82807
